Name;Pseudomonas_brassicacearum_strain_3Re2_7_3Re2_7 ;Pseudomonas_brassicacearum_strain_51MFCVI2 ;Pseudomonas_brassicacearum_strain_BS3663_BS3663 ;Pseudomonas_brassicacearum_strain_L13_6_12_L13_6_12 ;Pseudomonas_brassicacearum_strain_LBUM300_LBUM300 ;Pseudomonas_brassicacearum_strain_NFM421_NFM421 ;Pseudomonas_brassicacearum_strain_PA1G7 ;Pseudomonas_brassicacearum_strain_PP1_210F ;Pseudomonas_brassicacearum_strain_TM1A3 
Phosphate-binding protein PstS precursor;1;1;1;1;1;1;1;1;1
Carboxypeptidase G2 precursor;1;1;1;1;1;1;1;1;1
putative diguanylate cyclase AdrA;1;1;1;1;1;1;1;1;1
Lipase 1 precursor;1;1;1;1;1;1;1;1;1
putative FAD-linked oxidoreductase;1;1;1;1;1;1;1;1;1
putative FAD-linked oxidoreductase;1;1;1;1;1;1;1;1;1
Lactate utilization protein A;1;1;1;1;1;1;1;1;1
Major exported protein;1;1;1;1;1;1;1;1;1
Hydroxyneurosporene synthase (CrtC);1;1;1;1;1;1;1;1;1
outer membrane-specific lipoprotein transporter subunit LolC;1;1;1;1;1;1;1;1;1
putative ABC transporter ATP-binding protein;1;1;1;1;1;1;1;1;1
UDP-glucose 6-dehydrogenase YwqF;1;1;1;1;1;1;1;1;1
UDP-glucose 4-epimerase;1;1;1;1;1;1;1;1;1
UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase;1;1;1;1;1;1;1;1;1
Tyrosine-protein kinase YwqD;1;1;1;1;1;1;1;1;1
Polysaccharide biosynthesis/export protein;1;1;1;1;1;1;1;1;1
Putative tyrosine-protein kinase in cps region;1;1;1;1;1;1;1;1;1
2-deoxystreptamine glucosyltransferase;1;1;1;1;1;1;1;1;1
O-Antigen ligase;1;1;1;1;1;1;1;1;1
putative glycosyltransferase EpsJ;1;1;1;1;1;1;1;1;1
Poly-beta-1,6-N-acetyl-D-glucosamine synthase;1;1;1;1;1;1;1;1;1
Polysaccharide deacetylase;1;1;1;1;1;1;1;1;1
colanic acid exporter;1;1;1;1;1;1;1;1;1
Putative aminoacrylate hydrolase RutD;1;1;1;1;1;1;1;1;1
Trehalose transport system permease protein SugB;1;1;1;1;1;1;1;1;1
L-arabinose transport system permease protein AraP;1;1;1;1;1;1;1;1;1
Trehalose import ATP-binding protein SugC;1;1;1;1;1;1;1;1;1
sn-glycerol-3-phosphate import ATP-binding protein UgpC;1;1;1;1;1;1;1;1;1
Acetoin catabolism regulatory protein;1;1;1;1;1;1;1;1;1
Major Facilitator Superfamily protein;1;1;1;1;1;1;1;1;1
Branched-chain amino acid transport protein (AzlD);1;1;1;1;1;1;1;1;1
Inner membrane protein YgaZ;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator DmlR;1;1;1;1;1;1;1;1;1
Aminoglycoside 3-phosphotransferase;1;1;1;0;0;1;0;1;1
Bacterial Transmembrane Pair family protein;1;1;1;1;1;1;1;1;1
Glycine cleavage system transcriptional activator;1;1;1;1;1;1;1;1;1
Laccase domain protein YfiH;1;0;1;0;0;0;0;1;0
Transposase;1;1;1;1;1;1;1;1;1
IS66 Orf2 like protein;1;1;1;1;1;1;1;1;1
Transposase IS66 family protein;1;1;1;1;1;1;1;1;1
Quercetin 2,3-dioxygenase;1;1;1;1;1;1;1;1;1
NADP oxidoreductase coenzyme F420-dependent;1;1;1;1;1;1;1;1;1
FMN-dependent NADH-azoreductase 1;1;1;1;1;1;1;1;1;1
HTH-type transcriptional activator AllS;1;1;1;1;1;1;1;1;1
Transposon Tn10 TetD protein;1;1;1;1;1;1;1;1;1
Putative SOS response-associated peptidase YedK;1;1;0;0;0;1;1;1;0
Bacteriophage lysis protein;1;1;0;0;0;1;1;1;0
Cell Wall Hydrolase;1;1;0;0;0;1;1;1;0
Bacteriophage lambda tail assembly protein I;1;0;0;0;0;1;1;1;0
putative HTH-type transcriptional regulator YbaQ;1;0;0;0;0;0;0;0;0
NlpC/P60 family protein;1;0;0;0;0;1;1;1;0
Phage minor tail protein L;1;0;0;0;0;1;1;1;0
Phage minor tail protein;1;0;0;0;0;1;1;1;0
Chromosome partition protein Smc;1;0;0;0;0;1;1;1;0
Phage tail protein;1;0;0;0;0;1;1;1;0
Phage Mu protein F like protein;1;0;0;0;0;1;0;1;0
Terminase-like family protein;1;0;0;0;0;1;0;0;0
Bacteriophage Lambda NinG protein;1;1;0;0;1;1;1;1;0
Phage regulatory protein Rha (Phage_pRha);1;0;0;0;0;1;1;1;0
Phage regulatory protein CII (CP76);1;0;0;0;0;1;0;1;0
putative HTH-type transcriptional regulator;1;0;0;0;0;1;0;1;0
RecT family protein;1;0;0;0;0;0;0;0;0
YqaJ-like viral recombinase domain protein;1;0;0;0;0;0;0;0;0
C-5 cytosine-specific DNA methylase;1;1;0;0;1;0;0;1;0
Phage integrase family protein;1;0;0;0;0;1;0;1;0
Gamma-glutamylputrescine oxidoreductase;1;1;1;1;1;1;1;1;1
Glucose 1-dehydrogenase 1;1;1;1;1;1;1;1;1;1
O-succinylhomoserine sulfhydrylase;1;1;1;1;1;1;1;1;1
Amidophosphoribosyltransferase;1;1;1;1;1;1;1;1;1
Colicin V production protein;1;1;1;1;1;1;1;1;1
cell division protein DedD;1;1;1;1;1;1;1;1;1
Bifunctional protein FolC;1;1;1;1;1;1;1;1;1
Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta;1;1;1;1;1;1;1;1;1
N-(5-phosphoribosyl)anthranilate isomerase;1;1;1;1;1;1;1;1;1
tRNA pseudouridine synthase A;1;1;1;1;1;1;1;1;1
Aspartate-semialdehyde dehydrogenase;1;1;1;1;1;1;1;1;1
3-isopropylmalate dehydrogenase;1;1;1;1;1;1;1;1;1
putative methyltransferase YcgJ;1;1;1;1;1;1;1;1;1
3-isopropylmalate dehydratase small subunit 1;1;1;1;1;1;1;1;1;1
3-isopropylmalate dehydratase large subunit;1;1;1;1;1;1;1;1;1
HTH-type transcriptional activator CmpR;1;1;1;1;1;1;1;1;1
Phytochrome-like protein cph2;1;1;1;1;1;1;1;1;1
Small heat shock protein IbpA;1;1;1;1;1;1;1;1;1
tRNA-dihydrouridine synthase C;1;1;1;1;1;1;1;1;1
acyl-CoA thioesterase YbgC;1;1;1;1;1;1;1;1;1
Dihydrolipoyllysine-residue acetyltransferase component of acetoin cleaving system;1;1;1;1;1;1;1;1;1
DNA-binding transcriptional repressor AcrR;1;1;1;1;1;1;1;1;1
Glutamate--tRNA ligase;1;1;1;1;1;1;1;1;1
UvrABC system protein B;1;1;1;1;1;1;1;1;1
Aromatic-amino-acid aminotransferase;1;1;1;1;1;1;1;1;1
Serine hydroxymethyltransferase 2;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulatory protein GabR;1;1;1;1;1;1;1;1;1
putative inner membrane protein;1;1;1;1;1;1;1;1;1
putative protease YhbU precursor;1;1;1;1;1;1;1;1;1
Methyl-accepting chemotaxis protein PctB;1;1;1;1;1;1;1;1;1
Na+/H+ antiporter family protein;1;1;1;1;1;1;1;1;1
Virulence sensor histidine kinase PhoQ;1;1;1;1;1;1;1;1;1
Transcriptional regulatory protein QseB;1;1;1;1;1;1;1;1;1
Peptidase propeptide and YPEB domain protein;1;1;1;1;1;1;1;1;1
Peptidase propeptide and YPEB domain protein;1;1;1;1;1;1;1;1;1
6-carboxy-5,6,7,8-tetrahydropterin synthase;1;1;1;1;1;1;1;1;1
Haloacetate dehalogenase H-1;1;1;1;1;1;1;1;1;1
Cytosine permease;1;1;1;1;1;1;1;1;1
Cytosine deaminase;1;1;1;1;1;1;1;1;1
Diaminopimelate epimerase;1;1;1;1;1;1;1;1;1
Inner membrane protein YbjJ;1;1;1;1;1;1;1;1;1
Alkyl hydroperoxide reductase AhpD;1;1;1;1;1;1;1;1;1
Miniconductance mechanosensitive channel MscM precursor;1;1;1;1;1;1;1;1;1
Quercetin 2,3-dioxygenase;1;1;1;1;1;1;1;1;1
Virulence factors putative positive transcription regulator BvgA;1;1;1;1;1;1;1;1;1
Virulence sensor protein BvgS precursor;1;1;1;1;1;1;1;1;1
L-ornithine 5-monooxygenase;1;1;1;1;1;1;1;1;1
putative RNA polymerase sigma factor FecI;1;1;1;1;1;1;1;1;1
Macrolide export protein MacA;1;1;1;1;1;1;1;1;1
Macrolide export ATP-binding/permease protein MacB;1;1;1;1;1;1;1;1;1
putative efflux pump outer membrane protein TtgC precursor;1;1;1;1;1;1;1;1;1
Membrane dipeptidase (Peptidase family M19);1;1;1;1;1;1;1;1;1
Isopenicillin N epimerase;1;1;1;1;1;1;1;1;1
Serine/threonine-protein kinase pkn1;1;1;1;1;1;1;1;1;1
ABC transporter ATP-binding protein YojI;1;1;1;1;1;1;1;1;1
Dimodular nonribosomal peptide synthase;1;1;1;1;1;1;1;1;1
Ferripyoverdine receptor precursor;1;1;1;1;1;1;1;1;1
Tyrocidine synthase 3;1;1;1;1;1;1;1;1;1
Linear gramicidin synthase subunit B;1;0;1;1;1;1;1;1;1
Linear gramicidin synthase subunit B;1;0;1;1;1;1;0;0;1
Linear gramicidin dehydrogenase LgrE;1;1;1;1;1;1;1;1;1
Trans-aconitate 2-methyltransferase;1;1;1;1;1;1;1;1;1
SCP-2 sterol transfer family protein;1;1;1;1;1;1;1;1;1
Glucose 1-dehydrogenase;1;1;1;1;1;1;1;1;1
Trehalase;1;1;1;1;1;1;1;1;1
Tropinesterase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator CdhR;1;1;1;1;1;1;1;1;1
Isonitrile hydratase;1;1;1;1;1;1;1;1;1
Agrobacterium tumefaciens protein;1;1;1;1;1;1;1;1;1
putative oxidoreductase;1;1;1;1;1;1;1;1;1
Regulatory protein PchR;1;1;1;1;1;1;1;1;1
Threonine/homoserine exporter RhtA;1;1;1;1;1;1;1;1;1
Transcriptional regulator, TetR family;1;1;1;1;1;1;1;1;1
3-oxoacyl-[acyl-carrier-protein] reductase FabG1;1;1;1;1;1;1;1;1;1
2-hydroxychromene-2-carboxylate isomerase;1;1;1;1;1;1;1;1;1
Aminopeptidase;1;1;1;1;1;1;1;1;1
Cysteine desulfurase;1;1;1;1;1;1;1;1;1
Cysteine/O-acetylserine efflux protein;1;1;1;1;1;1;1;1;1
Tetracenomycin-F1 monooxygenase;1;1;1;1;1;1;1;1;1
Redox-sensitive transcriptional activator SoxR;1;1;1;1;1;1;1;1;1
Manganese ABC transporter substrate-binding lipoprotein precursor;1;1;1;1;1;1;1;1;1
Zinc import ATP-binding protein ZnuC;1;1;1;1;1;1;1;1;1
High-affinity zinc uptake system membrane protein ZnuB;1;1;1;1;1;1;1;1;1
Periplasmic solute binding protein family protein;1;1;1;1;1;1;1;1;1
3-methylitaconate isomerase;1;1;1;1;1;1;1;1;1
Aconitate hydratase 1;1;1;1;1;1;1;1;1;1
2-methylcitrate synthase;1;1;1;1;1;1;1;1;1
Methylisocitrate lyase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional repressor CsiR;1;1;1;1;1;1;1;1;1
Ribosomal protein S6--L-glutamate ligase;1;1;1;1;1;1;1;1;1
Aminodeoxychorismate synthase component 1;1;1;1;1;1;1;1;1;1
haloacid dehalogenase-like hydrolase;1;1;1;1;1;1;1;1;1
Phosphoadenosine phosphosulfate reductase;1;1;1;1;1;1;1;1;1
putative allantoin permease;1;1;1;1;1;1;1;1;1
Asp/Glu/Hydantoin racemase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator DmlR;1;1;1;1;1;1;1;1;1
Cyclic-di-GMP-binding biofilm dispersal mediator protein;1;1;1;1;1;1;1;1;1
Phosphorylated carbohydrates phosphatase;1;1;1;1;1;1;1;1;1
Glycine zipper 2TM domain protein;1;1;1;1;1;1;1;1;1
Blue-light-activated protein;1;1;1;1;1;1;1;1;1
Phytanoyl-CoA dioxygenase (PhyH);1;1;1;1;1;1;1;1;1
Alpha/beta hydrolase family protein;1;1;1;1;1;1;1;1;1
Leucine-responsive regulatory protein;1;1;1;1;1;1;1;1;1
L-lactate permease;1;1;1;1;1;1;1;1;1
Swarming motility protein YbiA;1;1;1;1;1;1;1;1;1
SMI1 / KNR4 family protein;1;1;1;1;1;1;1;1;1
carboxylesterase BioH;1;1;1;1;1;1;1;1;1
Suppressor of fused protein (SUFU);1;1;1;1;1;1;1;1;1
Fatty acid hydroxylase superfamily protein;1;1;1;1;1;1;1;1;1
Acetyltransferase (GNAT) family protein;1;1;1;1;1;1;1;1;1
Diaminopimelate epimerase;1;1;1;1;1;1;1;1;1
Glyoxalase-like domain protein;1;1;1;1;1;1;1;1;1
Putative ribosomal N-acetyltransferase YdaF;1;1;1;1;1;1;1;1;1
Antitoxin HigA;1;1;1;1;1;1;1;1;1
Antitoxin YafN;1;1;1;0;1;1;1;1;1
Glyoxylate/hydroxypyruvate reductase B;1;1;1;1;1;1;1;1;1
Pyridoxal 4-dehydrogenase;1;1;1;1;1;1;1;1;1
Fumarylpyruvate hydrolase;1;1;1;1;1;1;1;1;1
D-galactonate transporter;1;1;1;1;1;1;1;1;1
Transcriptional activator NphR;1;1;1;1;1;1;1;1;1
SnoaL-like domain protein;1;1;1;1;1;1;1;1;1
Major Facilitator Superfamily protein;1;1;1;1;1;1;1;1;1
putative enoyl-CoA hydratase;1;1;1;1;1;1;1;1;1
1-acyl-sn-glycerol-3-phosphate acyltransferase;1;1;1;1;1;1;1;1;1
Magnesium transport protein CorA;1;1;1;1;1;1;1;1;1
GMP synthase [glutamine-hydrolyzing];1;1;1;1;1;1;1;1;1
Fatty acid oxidation complex subunit alpha;1;1;1;1;1;1;1;1;1
Putative acyltransferase;1;1;1;1;1;1;1;1;1
Cytochrome c;1;1;1;1;1;1;1;1;1
START domain protein;1;1;1;1;1;1;1;1;1
Flagellin N-methylase;1;1;1;1;1;1;1;1;1
putative HTH-type transcriptional regulator YjiR;1;1;1;1;1;1;1;1;1
putative lipoprotein YiaD precursor;1;1;1;1;1;1;1;1;1
Bacterial extracellular solute-binding proteins, family 3;1;1;1;1;1;1;1;1;1
Electron transfer flavoprotein subunit alpha;1;1;1;1;1;1;1;1;1
Electron transfer flavoprotein subunit beta;1;1;1;1;1;1;1;1;1
Electron transfer flavoprotein-ubiquinone oxidoreductase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional activator RhaS;1;1;1;1;1;1;1;1;1
NADP-dependent alcohol dehydrogenase C 2;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator YiaJ;1;1;1;1;1;1;1;1;1
D-galactonate transporter;1;1;1;1;1;1;1;1;1
D-galactonate dehydratase;1;1;1;1;1;1;1;1;1
2-dehydro-3-deoxy-6-phosphogalactonate aldolase;1;1;1;1;1;1;1;1;1
2-keto-3-deoxy-galactonokinase;1;1;1;1;1;1;1;1;1
Glutathione S-transferase GstB;1;1;1;1;1;1;1;1;1
Acetyltransferase (GNAT) family protein;1;1;1;1;1;1;1;1;1
putative hydrolase;1;1;1;1;1;1;1;1;1
Ribose transport system permease protein RbsC;1;1;1;1;1;1;1;1;1
Arabinose import ATP-binding protein AraG;1;1;1;1;1;1;1;1;1
L-arabinose-binding periplasmic protein precursor;1;1;1;1;1;1;1;1;1
Levodione reductase;1;1;1;1;1;1;1;1;1
L-arabinolactonase;1;1;1;1;1;1;1;1;1
Pyruvate dehydrogenase complex repressor;1;1;1;1;1;1;1;1;1
Cyclic pyranopterin monophosphate synthase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator AcrR;1;1;1;1;1;1;1;1;1
putative deoxyribonuclease YcfH;1;1;1;1;1;1;1;1;1
PilZ domain protein;1;1;1;1;1;1;1;1;1
DNA polymerase III subunit delta;1;1;1;1;1;1;1;1;1
Thymidylate kinase;1;1;1;1;1;1;1;1;1
putative aminodeoxychorismate lyase;1;1;1;1;1;1;1;1;1
Aminodeoxychorismate lyase;1;1;1;1;1;1;1;1;1
3-oxoacyl-[acyl-carrier-protein] synthase 2;1;1;1;1;1;1;1;1;1
Acyl carrier protein;1;1;1;1;1;1;1;1;1
3-oxoacyl-[acyl-carrier-protein] reductase FabG;1;1;1;1;1;1;1;1;1
Malonyl CoA-acyl carrier protein transacylase;1;1;1;1;1;1;1;1;1
Phosphate acyltransferase;1;1;1;1;1;1;1;1;1
50S ribosomal protein L32;1;1;1;1;1;1;1;1;1
Maf-like protein YceF;1;1;1;1;1;1;1;1;1
Putative signal peptide peptidase SppA;1;1;1;1;1;1;1;1;1
Pyrophosphatase PpaX;1;1;1;1;1;1;1;1;1
Ribosomal large subunit pseudouridine synthase C;1;1;1;1;1;1;1;1;1
Ribonuclease E;1;1;1;1;1;1;0;1;1
Bifunctional protein GlmU;1;1;1;1;1;1;1;1;1
putative xanthine dehydrogenase subunit A;1;1;1;1;1;1;1;1;1
Isoquinoline 1-oxidoreductase subunit beta;1;1;1;1;1;1;1;1;1
Isoquinoline 1-oxidoreductase subunit alpha;1;1;1;1;1;1;1;1;1
UDP-N-acetylenolpyruvoylglucosamine reductase;1;1;1;1;1;1;1;1;1
Low molecular weight protein-tyrosine-phosphatase YfkJ;1;1;1;1;1;1;1;1;1
3-deoxy-manno-octulosonate cytidylyltransferase;1;1;1;1;1;1;1;1;1
Tetraacyldisaccharide 4-kinase;1;1;1;1;1;1;1;1;1
biopolymer transport protein ExbD;1;1;1;1;1;1;1;1;1
Biopolymer transport protein ExbB;1;1;1;1;1;1;1;1;1
ComEC family competence protein;1;1;1;1;1;1;1;1;1
Inner membrane transport permease YadH;1;1;1;1;1;1;1;1;1
Daunorubicin/doxorubicin resistance ATP-binding protein DrrA;1;1;1;1;1;1;1;1;1
Glutathione S-transferase GstB;1;1;1;1;1;1;1;1;1
Transglutaminase-like superfamily protein;1;1;1;1;1;1;1;1;1
Acyl-coenzyme A dehydrogenase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator DmlR;1;1;1;1;1;1;1;1;1
alanyl-tRNA synthetase;1;1;1;1;1;1;1;1;1
Type II secretion system protein D precursor;1;1;1;1;1;1;1;1;1
Bacterial type II secretion system protein F domain protein;1;1;1;1;1;1;1;1;1
Bacterial type II secretion system protein F domain protein;1;1;1;1;1;1;1;1;1
Putative conjugal transfer protein;1;1;1;1;1;1;1;1;1
Septum site-determining protein MinD;1;1;1;1;1;1;1;1;1
TadE-like protein;1;1;1;1;1;1;1;1;1
TadE-like protein;1;1;1;1;1;1;1;1;1
SAF domain protein;1;1;1;1;1;1;1;1;1
Type IV leader peptidase family protein;1;1;1;1;1;1;1;1;1
Flp/Fap pilin component;1;1;1;1;1;1;1;1;0
Flp/Fap pilin component;1;1;1;1;1;1;1;1;1
HTH-type transcriptional activator Btr;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator LrpC;1;1;1;1;1;1;1;1;1
Pyruvate formate-lyase 1-activating enzyme;1;1;1;1;1;1;1;1;1
Cystathionine gamma-lyase;1;1;1;1;1;1;1;1;1
2-aminoadipate transaminase;1;1;1;1;1;1;1;1;1
leucine export protein LeuE;1;1;1;1;1;1;1;1;1
Methyl-accepting chemotaxis protein McpS;1;1;1;1;1;1;1;1;1
putative HTH-type transcriptional regulator YjiR;1;1;1;1;1;1;1;1;1
2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase;1;1;1;1;1;1;1;1;1
Putative NADP-dependent oxidoreductase YfmJ;1;1;1;1;1;1;1;1;1
Orotidine 5-phosphate decarboxylase;1;1;1;1;1;1;1;1;1
Transcriptional regulatory protein OmpR;1;1;1;1;1;1;1;1;1
Sensor protein CpxA;1;1;1;1;1;1;1;1;1
EF hand;1;1;1;1;1;1;1;1;1
putative inner membrane protein;1;1;1;1;1;1;1;1;1
Tropinesterase;1;1;1;1;1;1;1;1;1
Alpha/beta hydrolase family protein;1;1;1;1;1;1;1;1;1
Esterase YdiI;1;1;1;1;1;1;1;1;1
Phosphohistidine phosphatase SixA;1;1;1;1;1;1;1;1;1
Glycerol-3-phosphate dehydrogenase [NAD(P)+];1;1;1;1;1;1;1;1;1
Colicin I receptor precursor;1;1;1;1;1;1;1;1;1
Signal transduction histidine-protein kinase BarA;1;1;1;1;1;1;1;1;1
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase;1;1;1;1;1;1;1;1;1
3-oxoacyl-[acyl-carrier-protein] synthase 1;1;1;1;1;1;1;1;1;1
Amidohydrolase;1;1;1;1;1;1;1;1;1
Quercetin 2,3-dioxygenase;1;1;1;1;1;1;1;1;1
Dienelactone hydrolase family protein;1;1;1;1;1;1;1;1;1
Chaperone protein HtpG;1;1;1;1;1;1;1;1;1
Riboflavin transporter;1;1;1;1;1;1;1;1;1
Branched-chain amino acid transport system 2 carrier protein;1;1;1;1;1;1;1;1;1
Succinyl-CoA ligase [ADP-forming] subunit alpha;1;1;1;1;1;1;1;1;1
Succinyl-CoA ligase [ADP-forming] subunit beta;1;1;1;1;1;1;1;1;1
Dihydrolipoamide dehydrogenase;1;1;1;1;1;1;1;1;1
Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex;1;1;1;1;1;1;1;1;1
2-oxoglutarate dehydrogenase E1 component;1;1;1;1;1;1;1;1;1
Succinate dehydrogenase iron-sulfur subunit;1;1;1;1;1;1;1;1;1
Succinate dehydrogenase flavoprotein subunit;1;1;1;1;1;1;1;1;1
Succinate dehydrogenase hydrophobic membrane anchor subunit;1;1;1;1;1;1;1;1;1
Succinate dehydrogenase cytochrome b556 subunit;1;1;1;1;1;1;1;1;1
Citrate synthase;1;1;1;1;1;1;1;1;1
Cation/acetate symporter ActP;1;1;1;1;1;1;1;1;1
Inner membrane protein YjcH;1;1;1;1;1;1;1;1;1
Glycine betaine-binding protein OpuAC precursor;1;1;1;1;1;1;1;1;1
Alpha/beta hydrolase family protein;1;1;1;1;1;1;1;1;1
putative phospholipid-binding lipoprotein MlaA precursor;1;1;1;1;1;1;1;1;1
Inner membrane protein YedI;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator RutR;1;1;1;1;1;1;1;1;1
Transposase IS200 like protein;1;1;1;1;1;1;1;1;1
Glyoxylate carboligase;1;1;1;1;1;1;1;1;1
Hydroxypyruvate isomerase;1;1;1;1;1;1;1;1;1
2-hydroxy-3-oxopropionate reductase;1;1;1;1;1;1;1;1;1
Putative hydroxypyruvate reductase;1;1;1;1;1;1;1;1;1
Pyruvate kinase;1;1;1;1;1;1;1;1;1
Urea transporter;1;1;1;1;1;1;1;1;1
pH-gated potassium channel KcsA;1;1;1;1;1;1;1;1;1
Sulfate-binding protein precursor;1;1;1;1;1;1;1;1;1
Inner membrane transport protein YnfM;1;1;1;1;1;1;1;1;1
Ankyrin repeats (3 copies);1;1;1;1;1;1;1;1;1
Long-chain-fatty-acid--CoA ligase FadD17;1;1;1;1;1;1;1;1;1
Acireductone dioxygenase;1;1;1;1;1;1;1;1;1
putative 3-phenylpropionic acid transporter;1;1;1;1;1;1;1;1;1
Chorismate synthase;1;1;1;1;1;1;1;1;1
Alpha/beta hydrolase family protein;1;1;1;1;1;1;1;1;1
50S ribosomal protein L3 glutamine methyltransferase;1;1;1;1;1;1;1;1;1
Streptothricin hydrolase;1;1;1;1;1;1;1;1;1
putative DNA endonuclease SmrA;1;1;1;1;1;1;1;1;1
DNA polymerase IV;1;1;0;1;0;0;1;0;1
LexA repressor;1;0;0;1;0;0;1;0;0
Putative SOS response-associated peptidase YedK;1;0;0;1;0;0;0;0;0
DNA adenine methylase;1;0;1;1;0;0;0;0;0
Bacteriophage lysis protein;1;0;1;1;0;0;0;0;0
Chitinase class I;1;0;1;1;0;0;0;0;0
Phage late control gene D protein (GPD);1;0;1;1;0;0;0;0;0
Phage Tail Protein X;1;0;1;1;0;0;1;0;0
Phage P2 GpU;1;0;1;1;0;0;0;0;0
Phage-related minor tail protein;1;0;1;1;0;0;0;0;0
Phage tail tube protein FII;1;0;1;1;0;0;1;0;0
Phage tail sheath protein;1;0;1;1;0;0;0;0;0
Phage tail protein (Tail_P2_I);1;0;1;1;0;0;1;0;0
Baseplate J-like protein;1;0;1;1;0;0;1;0;0
Gene 25-like lysozyme;1;0;1;1;0;0;1;0;0
Phage-related baseplate assembly protein;1;0;1;1;0;0;0;0;0
Phage major capsid protein E;1;0;0;0;0;0;0;0;0
Putative signal peptide peptidase SppA;1;0;0;0;0;0;0;0;0
Phage portal protein, lambda family;1;0;0;0;0;0;0;0;0
Phage terminase large subunit (GpA);1;0;0;0;0;0;0;0;0
Phage DNA packaging protein Nu1;1;0;0;0;0;0;0;0;0
DNA primase TraC;1;0;1;1;0;0;0;0;0
putative HTH-type transcriptional regulator;1;0;0;1;0;0;0;0;0
Phage antirepressor protein KilAC domain protein;1;0;1;1;0;0;0;0;0
Pyocin activator protein PrtN;1;0;1;1;0;0;0;0;0
Putative prophage phiRv2 integrase;1;0;0;0;0;0;0;0;0
GTP cyclohydrolase 1;1;1;1;1;1;1;1;1;1
glutaredoxin 2;1;1;1;1;1;1;1;1;1
2-aminoadipate transaminase;1;1;1;1;1;1;1;1;1
MarR family protein;1;1;1;1;1;1;1;1;1
putative adenine permease PurP;1;1;1;1;1;1;1;1;1
Homoserine/homoserine lactone efflux protein;1;1;1;1;1;1;1;1;1
5-hydroxyisourate hydrolase;1;1;1;1;1;1;1;1;1
Peptidoglycan deacetylase;1;1;1;1;1;1;1;1;1
Uric acid degradation bifunctional protein;1;1;1;1;1;1;1;1;1
allantoicase;1;1;1;1;1;1;1;1;1
Ureidoglycolate lyase;1;1;1;1;1;1;1;1;1
Cytochrome c;1;1;1;1;1;1;1;1;1
Nucleoside-specific channel-forming protein, Tsx;1;1;1;1;1;1;1;1;1
Patatin-like phospholipase;1;1;1;1;1;1;1;1;1
Lipid A biosynthesis lauroyl acyltransferase;1;1;1;1;1;1;1;1;1
Septum site-determining protein MinC;1;1;1;1;1;1;1;1;1
Septum site-determining protein MinD;1;1;1;1;1;1;1;1;1
Cell division topological specificity factor;1;1;1;1;1;1;1;1;1
Ribosomal large subunit pseudouridine synthase A;1;1;1;1;1;1;1;1;1
putative M18 family aminopeptidase 2;1;1;1;1;1;1;1;1;1
Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons;1;1;1;1;1;1;1;1;1
Type I phosphodiesterase / nucleotide pyrophosphatase;1;1;1;1;1;1;1;1;1
Sulfate transport system permease protein CysW;1;1;1;1;1;1;1;1;1
Sulfate transport system permease protein CysW;1;1;1;1;1;1;1;1;1
Spermidine/putrescine import ATP-binding protein PotA;1;1;1;1;1;1;1;1;1
Phosphoserine phosphatase;1;1;1;1;1;1;1;1;1
Vitelline membrane outer layer protein I (VOMI);1;1;1;1;1;1;1;1;1
Phthiocerol synthesis polyketide synthase type I PpsC;1;1;1;1;1;1;1;1;1
Tail-specific protease precursor;1;1;1;1;1;1;1;1;1
Blue light- and temperature-regulated antirepressor YcgF;1;1;1;1;1;1;1;1;1
Putative deoxyribonuclease RhsC;1;1;1;1;1;1;1;1;1
helix-turn-helix protein;1;1;1;1;1;1;1;1;1
FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase;1;1;1;1;1;1;1;1;1
Cytochrome c;1;1;1;1;1;1;1;1;1
Catalase;1;1;1;1;1;1;1;1;1
Recombination-associated protein RdgC;1;1;1;1;1;1;0;1;1
Sodium Bile acid symporter family protein;1;1;1;1;1;1;1;1;1
Quaternary ammonium compound-resistance protein SugE;1;1;1;1;1;1;1;1;1
Lysophospholipid transporter LplT;1;1;1;1;1;1;1;1;1
C4-dicarboxylate transporter/malic acid transport protein;1;1;1;1;1;1;1;1;1
Cupin domain protein;1;1;1;1;1;1;1;1;1
multidrug resistance protein D;1;1;1;1;1;1;1;1;1
Transcriptional regulator, TetR family;1;1;1;1;1;1;1;1;1
